Ray_ID,rho_X,rho_Y,Surf_num,Ray_L,Ray_M,Ray_N,Surf_L,Surf_M,Surf_N,Index_in,Index_out
15,-0.530330086,0.353553391,4,0.040888201,-0.027258801,0.998791827,0,0.707106781,-0.707106781,1,1
15,-0.530330086,0.353553391,5,0.040888201,-0.027258801,0.998791827,0,0.707106781,-0.707106781,1,1
15,-0.530330086,0.353553391,6,0.040888201,0.998791827,-0.027258801,0,1,0,1,1
15,-0.530330086,0.353553391,7,0.040888201,0.998791827,-0.027258801,0.707106781,-0.707106781,0,1,1
15,-0.530330086,0.353553391,8,0.040888201,0.998791827,-0.027258801,0.707106781,-0.707106781,0,1,1
15,-0.530330086,0.353553391,9,0.998791827,0.040888201,-0.027258801,-1,0,0,1,1
15,-0.530330086,0.353553391,10,0.998791827,0.040888201,-0.027258801,-1,0,0,1,1
16,-0.530330086,0.530330086,1,-0.067870481,0.067870481,0.995382939,0,0,-1,1,1
16,-0.530330086,0.530330086,2,-0.067870481,0.067870481,0.995382939,-0.092165662,0.092165662,-0.991469103,1,1.518522388
16,-0.530330086,0.530330086,3,-0.012685255,0.012685255,0.999839071,0.114157031,-0.114157031,-0.986882133,1.518522388,1
16,-0.530330086,0.530330086,4,0.040882166,-0.040882166,0.998327249,0,0.707106781,-0.707106781,1,1
16,-0.530330086,0.530330086,5,0.040882166,-0.040882166,0.998327249,0,0.707106781,-0.707106781,1,1
16,-0.530330086,0.530330086,6,0.040882166,0.998327249,-0.040882166,0,1,0,1,1
16,-0.530330086,0.530330086,7,0.040882166,0.998327249,-0.040882166,0.707106781,-0.707106781,0,1,1
16,-0.530330086,0.530330086,8,0.040882166,0.998327249,-0.040882166,0.707106781,-0.707106781,0,1,1
16,-0.530330086,0.530330086,9,0.998327249,0.040882166,-0.040882166,-1,0,0,1,1
16,-0.530330086,0.530330086,10,0.998327249,0.040882166,-0.040882166,-1,0,0,1,1
17,-0.530330086,0.707106781,1,-0.067749225,0.0903323,0.993604609,0,0,-1,1,1
17,-0.530330086,0.707106781,2,-0.067749225,0.0903323,0.993604609,-0.090463721,0.120618295,-0.988568431,1,1.518522388
17,-0.530330086,0.707106781,3,-0.013003913,0.017338551,0.999765109,0.114380071,-0.152506762,-0.981661289,1.518522388,1
17,-0.530330086,0.707106781,4,0.040899312,-0.054532416,0.997674026,0,0.707106781,-0.707106781,1,1
17,-0.530330086,0.707106781,5,0.040899312,-0.054532416,0.997674026,0,0.707106781,-0.707106781,1,1
17,-0.530330086,0.707106781,6,0.040899312,0.997674026,-0.054532416,0,1,0,1,1
17,-0.530330086,0.707106781,7,0.040899312,0.997674026,-0.054532416,0.707106781,-0.707106781,0,1,1
17,-0.530330086,0.707106781,8,0.040899312,0.997674026,-0.054532416,0.707106781,-0.707106781,0,1,1
17,-0.530330086,0.707106781,9,0.997674026,0.040899312,-0.054532416,-1,0,0,1,1
17,-0.530330086,0.707106781,10,0.997674026,0.040899312,-0.054532416,-1,0,0,1,1
18,-0.353553391,-0.707106781,1,-0.045223847,-0.090447693,0.994873871,0,0,-1,1,1
18,-0.353553391,-0.707106781,2,-0.045223847,-0.090447693,0.994873871,-0.061113296,-0.122226593,-0.99061891,1,1.518522388
18,-0.353553391,-0.707106781,3,-0.008518743,-0.017037485,0.999818561,0.076148009,0.152296019,-0.985397079,1.518522388,1
18,-0.353553391,-0.707106781,4,0.027256042,0.054512083,0.998141043,0,0.707106781,-0.707106781,1,1
18,-0.353553391,-0.707106781,5,0.027256042,0.054512083,0.998141043,0,0.707106781,-0.707106781,1,1
18,-0.353553391,-0.707106781,6,0.027256042,0.998141043,0.054512083,0,1,0,1,1
18,-0.353553391,-0.707106781,7,0.027256042,0.998141043,0.054512083,0.707106781,-0.707106781,0,1,1
18,-0.353553391,-0.707106781,8,0.027256042,0.998141043,0.054512083,0.707106781,-0.707106781,0,1,1
